KPN,Description,Type,Cost
201131,"Northern VF2812IRMP3, 3MP 2.8-12MM IR Auto-Iris Lens, F1.4",CCTV,42.99
201126,Securitron MCL-24 Magnetic Cabinet Lock,LOCKS,119
201125,"Antaira LNP-1002G-SFP-24-T, 10 Port POE+ Unmanaged Switch",COMM,744.84
201124,"Avigilon POE-INJ2-60W-NA, Indoor 1-Port Gigabit PoE++ 60W",COMM,108.33
201123,SanDisk 128GB SD Card,CCTV,25.09
201122,SanDisk 32GB SD Card,CCTV,19.48
201121,"Flir FC-617-O-N, 35MM, NTSC 30 HZ, Thermal Camera",VIDCAMERA,4423.27
201119,AlphaTouch Flush Mount Housing for AT700AS Entry Station,INTERCOM,87.9
201118,AlphaTouch Aluminum Rain Hood for AT700AS Entry Station,INTERCOM,109.34
201117,"AlphaTouch 7 Video Entry Station SM, 2yr Warranty Included",INTERCOM,2034.14
201116,"Trigon Miniguard 4D, 02A00404-1000",PHONES,838.67
201115,SDC 1582V 628 EMLOCK,LOCKS,357.5
201114,2DOOR-KIT/ 2-STARPB-RDRSB,PANELS,529.99
201112,LONG RANGE PENDANT TRNSMTTR WH,BUTTONS,52.55
201111,PTZ OUT TURBO 2M 25X DN,LOCKS,446.99
201110,SHIM MOUNT FOR EXPRESS-HD DOME,CCTV,9.95
201109,SDC AB23V 1 1/2X 1 1/2X22 628,LOCKS,32.94
201108,SDC 1572V 628 DBL EMLOCK,LOCKS,180.93
201107,TRANSIT ULTIMATE 33FT READER Nedap/avi,READERS,2741.79
201105,Cisco Small Business RV340 - router - rack-mountable,CCTV,237.96
201104,Cisco SG350-10MP-K9-NA 10 Port PoE+ Managed Switch,COMM,332.73
201103,Western Digital WD80PURZ 8TB Purple Surveillance HDD,COMPUTER,295.72
201102,Western Digital WD40PURZ 4TB Purple Surveillance HDD,COMPUTER,138.9
201101,Western Digital WD8003XFRYZ 8TB Gold Datacenter HDD,COMPUTER,42.76
201100,Western Digital WD4002XFYYZ 4TB Gold Datacenter HDD,COMPUTER,186.48
201099,"Cisco SG-350-24MP-K9-NA 24 Port Managed PoE Switch, Rack Mou",COMM,1632.66
201098,West Penn 42450SP CAT5E Water Blocked & UV Resistant,WIRE,0.22
201097,Ruckus ICX 7150-C12P - switch - 12 ports - managed,CCTV,1071.66
201096,"Avigilon 2.0C-H4A-DO1-IR, 2MP, WDR, IR, Outdoor Dome 3-9mm",VIDCAMERA,604.66
201093,Ubiquiti AirMax NanoStation NS-5AC,COMM,118.52
201092,*Discontinued product,COMM,0
